,beta,edge_num,gamma,max_lambda,node_num
0,0.012890625,250,0.1,10.22308965,50
1,0.026171875,250,0.2,10.22308965,50
2,0.040722656,250,0.3,10.22308965,50
3,0.055078125,250,0.4,10.22308965,50
4,0.067871094,250,0.5,10.22308965,50
5,0.079394531,250,0.6,10.22308965,50
6,0.098779297,250,0.7,10.22308965,50
7,0.112890625,250,0.8,10.22308965,50
8,0.119091797,250,0.9,10.22308965,50
9,0.139160156,250,1,10.22308965,50
10,0.014453125,250,0.1,10.1733504,50
11,0.025390625,250,0.2,10.1733504,50
12,0.039550781,250,0.3,10.1733504,50
13,0.055859375,250,0.4,10.1733504,50
14,0.065917969,250,0.5,10.1733504,50
15,0.080566406,250,0.6,10.1733504,50
16,0.096728516,250,0.7,10.1733504,50
17,0.099609375,250,0.8,10.1733504,50
18,0.117333984,250,0.9,10.1733504,50
19,0.141113281,250,1,10.1733504,50
20,0.012890625,250,0.1,10.17914868,50
21,0.026171875,250,0.2,10.17914868,50
22,0.041308594,250,0.3,10.17914868,50
23,0.053515625,250,0.4,10.17914868,50
24,0.067871094,250,0.5,10.17914868,50
25,0.081152344,250,0.6,10.17914868,50
26,0.093994141,250,0.7,10.17914868,50
27,0.109765625,250,0.8,10.17914868,50
28,0.121728516,250,0.9,10.17914868,50
29,0.135253906,250,1,10.17914868,50
30,0.013671875,250,0.1,10.16213308,50
31,0.026953125,250,0.2,10.16213308,50
32,0.040722656,250,0.3,10.16213308,50
33,0.057421875,250,0.4,10.16213308,50
34,0.069824219,250,0.5,10.16213308,50
35,0.081152344,250,0.6,10.16213308,50
36,0.096728516,250,0.7,10.16213308,50
37,0.112890625,250,0.8,10.16213308,50
38,0.119970703,250,0.9,10.16213308,50
39,0.134277344,250,1,10.16213308,50
40,0.013671875,250,0.1,10.23732155,50
41,0.026953125,250,0.2,10.23732155,50
42,0.039550781,250,0.3,10.23732155,50
43,0.052734375,250,0.4,10.23732155,50
44,0.066894531,250,0.5,10.23732155,50
45,0.080566406,250,0.6,10.23732155,50
46,0.098779297,250,0.7,10.23732155,50
47,0.106640625,250,0.8,10.23732155,50
48,0.121728516,250,0.9,10.23732155,50
49,0.141113281,250,1,10.23732155,50
50,0.013671875,250,0.1,10.27621596,50
51,0.025390625,250,0.2,10.27621596,50
52,0.041308594,250,0.3,10.27621596,50
53,0.051171875,250,0.4,10.27621596,50
54,0.063964844,250,0.5,10.27621596,50
55,0.085839844,250,0.6,10.27621596,50
56,0.092626953,250,0.7,10.27621596,50
57,0.105859375,250,0.8,10.27621596,50
58,0.127001953,250,0.9,10.27621596,50
59,0.130371094,250,1,10.27621596,50
60,0.013671875,250,0.1,10.23208903,50
61,0.024609375,250,0.2,10.23208903,50
62,0.041308594,250,0.3,10.23208903,50
63,0.053515625,250,0.4,10.23208903,50
64,0.068847656,250,0.5,10.23208903,50
65,0.082324219,250,0.6,10.23208903,50
66,0.094677734,250,0.7,10.23208903,50
67,0.109765625,250,0.8,10.23208903,50
68,0.119970703,250,0.9,10.23208903,50
69,0.124511719,250,1,10.23208903,50
70,0.014453125,250,0.1,10.22660798,50
71,0.026171875,250,0.2,10.22660798,50
72,0.039550781,250,0.3,10.22660798,50
73,0.052734375,250,0.4,10.22660798,50
74,0.066894531,250,0.5,10.22660798,50
75,0.078222656,250,0.6,10.22660798,50
76,0.091943359,250,0.7,10.22660798,50
77,0.099609375,250,0.8,10.22660798,50
78,0.121728516,250,0.9,10.22660798,50
79,0.131347656,250,1,10.22660798,50
80,0.013671875,250,0.1,10.26629188,50
81,0.025390625,250,0.2,10.26629188,50
82,0.038378906,250,0.3,10.26629188,50
83,0.053515625,250,0.4,10.26629188,50
84,0.066894531,250,0.5,10.26629188,50
85,0.078808594,250,0.6,10.26629188,50
86,0.087158203,250,0.7,10.26629188,50
87,0.108203125,250,0.8,10.26629188,50
88,0.128759766,250,0.9,10.26629188,50
89,0.133300781,250,1,10.26629188,50
90,0.013671875,250,0.1,10.23322298,50
91,0.026953125,250,0.2,10.23322298,50
92,0.040136719,250,0.3,10.23322298,50
93,0.056640625,250,0.4,10.23322298,50
94,0.067871094,250,0.5,10.23322298,50
95,0.079394531,250,0.6,10.23322298,50
96,0.093310547,250,0.7,10.23322298,50
97,0.106640625,250,0.8,10.23322298,50
98,0.115576172,250,0.9,10.23322298,50
99,0.131347656,250,1,10.23322298,50
100,0.013671875,250,0.1,10.25027016,50
101,0.026171875,250,0.2,10.25027016,50
102,0.038964844,250,0.3,10.25027016,50
103,0.052734375,250,0.4,10.25027016,50
104,0.067871094,250,0.5,10.25027016,50
105,0.076464844,250,0.6,10.25027016,50
106,0.093310547,250,0.7,10.25027016,50
107,0.105859375,250,0.8,10.25027016,50
108,0.128759766,250,0.9,10.25027016,50
109,0.132324219,250,1,10.25027016,50
110,0.012890625,250,0.1,10.25025894,50
111,0.026171875,250,0.2,10.25025894,50
112,0.042480469,250,0.3,10.25025894,50
113,0.054296875,250,0.4,10.25025894,50
114,0.063964844,250,0.5,10.25025894,50
115,0.080566406,250,0.6,10.25025894,50
116,0.091943359,250,0.7,10.25025894,50
117,0.101953125,250,0.8,10.25025894,50
118,0.124365234,250,0.9,10.25025894,50
119,0.135253906,250,1,10.25025894,50
120,0.013671875,250,0.1,10.1804343,50
121,0.026953125,250,0.2,10.1804343,50
122,0.040722656,250,0.3,10.1804343,50
123,0.055078125,250,0.4,10.1804343,50
124,0.066894531,250,0.5,10.1804343,50
125,0.084667969,250,0.6,10.1804343,50
126,0.092626953,250,0.7,10.1804343,50
127,0.109765625,250,0.8,10.1804343,50
128,0.125244141,250,0.9,10.1804343,50
129,0.135253906,250,1,10.1804343,50
130,0.014453125,250,0.1,10.28543612,50
131,0.026953125,250,0.2,10.28543612,50
132,0.040136719,250,0.3,10.28543612,50
133,0.053515625,250,0.4,10.28543612,50
134,0.064941406,250,0.5,10.28543612,50
135,0.079980469,250,0.6,10.28543612,50
136,0.094677734,250,0.7,10.28543612,50
137,0.105078125,250,0.8,10.28543612,50
138,0.119091797,250,0.9,10.28543612,50
139,0.133300781,250,1,10.28543612,50
140,0.013671875,250,0.1,10.30569704,50
141,0.026953125,250,0.2,10.30569704,50
142,0.038378906,250,0.3,10.30569704,50
143,0.051171875,250,0.4,10.30569704,50
144,0.065917969,250,0.5,10.30569704,50
145,0.079394531,250,0.6,10.30569704,50
146,0.097412109,250,0.7,10.30569704,50
147,0.106640625,250,0.8,10.30569704,50
148,0.127001953,250,0.9,10.30569704,50
149,0.130371094,250,1,10.30569704,50
150,0.012890625,250,0.1,10.24441071,50
151,0.026171875,250,0.2,10.24441071,50
152,0.040136719,250,0.3,10.24441071,50
153,0.052734375,250,0.4,10.24441071,50
154,0.067871094,250,0.5,10.24441071,50
155,0.080566406,250,0.6,10.24441071,50
156,0.093310547,250,0.7,10.24441071,50
157,0.109765625,250,0.8,10.24441071,50
158,0.115576172,250,0.9,10.24441071,50
159,0.137207031,250,1,10.24441071,50
160,0.013671875,250,0.1,10.16054316,50
161,0.026171875,250,0.2,10.16054316,50
162,0.042480469,250,0.3,10.16054316,50
163,0.056640625,250,0.4,10.16054316,50
164,0.066894531,250,0.5,10.16054316,50
165,0.083496094,250,0.6,10.16054316,50
166,0.091259766,250,0.7,10.16054316,50
167,0.112890625,250,0.8,10.16054316,50
168,0.120849609,250,0.9,10.16054316,50
169,0.131347656,250,1,10.16054316,50
170,0.012890625,250,0.1,10.34548409,50
171,0.026953125,250,0.2,10.34548409,50
172,0.042480469,250,0.3,10.34548409,50
173,0.053515625,250,0.4,10.34548409,50
174,0.062011719,250,0.5,10.34548409,50
175,0.078222656,250,0.6,10.34548409,50
176,0.092626953,250,0.7,10.34548409,50
177,0.105078125,250,0.8,10.34548409,50
178,0.119970703,250,0.9,10.34548409,50
179,0.128417969,250,1,10.34548409,50
180,0.012890625,250,0.1,10.18708627,50
181,0.028515625,250,0.2,10.18708627,50
182,0.040722656,250,0.3,10.18708627,50
183,0.055078125,250,0.4,10.18708627,50
184,0.070800781,250,0.5,10.18708627,50
185,0.077050781,250,0.6,10.18708627,50
186,0.094677734,250,0.7,10.18708627,50
187,0.106640625,250,0.8,10.18708627,50
188,0.123486328,250,0.9,10.18708627,50
189,0.131347656,250,1,10.18708627,50
190,0.012890625,250,0.1,10.23877079,50
191,0.026171875,250,0.2,10.23877079,50
192,0.039550781,250,0.3,10.23877079,50
193,0.051953125,250,0.4,10.23877079,50
194,0.066894531,250,0.5,10.23877079,50
195,0.081738281,250,0.6,10.23877079,50
196,0.098779297,250,0.7,10.23877079,50
197,0.106640625,250,0.8,10.23877079,50
198,0.119091797,250,0.9,10.23877079,50
199,0.137207031,250,1,10.23877079,50
200,0.012109375,250,0.1,10.25761179,50
201,0.026953125,250,0.2,10.25761179,50
202,0.042480469,250,0.3,10.25761179,50
203,0.051171875,250,0.4,10.25761179,50
204,0.066894531,250,0.5,10.25761179,50
205,0.074707031,250,0.6,10.25761179,50
206,0.096044922,250,0.7,10.25761179,50
207,0.105078125,250,0.8,10.25761179,50
208,0.119970703,250,0.9,10.25761179,50
209,0.126464844,250,1,10.25761179,50
210,0.012890625,250,0.1,10.3385223,50
211,0.026953125,250,0.2,10.3385223,50
212,0.040722656,250,0.3,10.3385223,50
213,0.055078125,250,0.4,10.3385223,50
214,0.065917969,250,0.5,10.3385223,50
215,0.079980469,250,0.6,10.3385223,50
216,0.091259766,250,0.7,10.3385223,50
217,0.109765625,250,0.8,10.3385223,50
218,0.119970703,250,0.9,10.3385223,50
219,0.130371094,250,1,10.3385223,50
220,0.012890625,250,0.1,10.21922457,50
221,0.028515625,250,0.2,10.21922457,50
222,0.041308594,250,0.3,10.21922457,50
223,0.052734375,250,0.4,10.21922457,50
224,0.068847656,250,0.5,10.21922457,50
225,0.079980469,250,0.6,10.21922457,50
226,0.091259766,250,0.7,10.21922457,50
227,0.105859375,250,0.8,10.21922457,50
228,0.119091797,250,0.9,10.21922457,50
229,0.128417969,250,1,10.21922457,50
230,0.012109375,250,0.1,10.31391379,50
231,0.026171875,250,0.2,10.31391379,50
232,0.040136719,250,0.3,10.31391379,50
233,0.053515625,250,0.4,10.31391379,50
234,0.066894531,250,0.5,10.31391379,50
235,0.084667969,250,0.6,10.31391379,50
236,0.096044922,250,0.7,10.31391379,50
237,0.099609375,250,0.8,10.31391379,50
238,0.120849609,250,0.9,10.31391379,50
239,0.142089844,250,1,10.31391379,50
240,0.012890625,250,0.1,10.27274429,50
241,0.027734375,250,0.2,10.27274429,50
242,0.042480469,250,0.3,10.27274429,50
243,0.053515625,250,0.4,10.27274429,50
244,0.062011719,250,0.5,10.27274429,50
245,0.074707031,250,0.6,10.27274429,50
246,0.087158203,250,0.7,10.27274429,50
247,0.111328125,250,0.8,10.27274429,50
248,0.122607422,250,0.9,10.27274429,50
249,0.141113281,250,1,10.27274429,50
250,0.012890625,250,0.1,10.26087705,50
251,0.026953125,250,0.2,10.26087705,50
252,0.037207031,250,0.3,10.26087705,50
253,0.051953125,250,0.4,10.26087705,50
254,0.069824219,250,0.5,10.26087705,50
255,0.081152344,250,0.6,10.26087705,50
256,0.093310547,250,0.7,10.26087705,50
257,0.109765625,250,0.8,10.26087705,50
258,0.127001953,250,0.9,10.26087705,50
259,0.130371094,250,1,10.26087705,50
260,0.013671875,250,0.1,10.2375357,50
261,0.024609375,250,0.2,10.2375357,50
262,0.040136719,250,0.3,10.2375357,50
263,0.051953125,250,0.4,10.2375357,50
264,0.065917969,250,0.5,10.2375357,50
265,0.079394531,250,0.6,10.2375357,50
266,0.091943359,250,0.7,10.2375357,50
267,0.105859375,250,0.8,10.2375357,50
268,0.122607422,250,0.9,10.2375357,50
269,0.130371094,250,1,10.2375357,50
270,0.013671875,250,0.1,10.2667675,50
271,0.026171875,250,0.2,10.2667675,50
272,0.037207031,250,0.3,10.2667675,50
273,0.053515625,250,0.4,10.2667675,50
274,0.065917969,250,0.5,10.2667675,50
275,0.077050781,250,0.6,10.2667675,50
276,0.091943359,250,0.7,10.2667675,50
277,0.107421875,250,0.8,10.2667675,50
278,0.121728516,250,0.9,10.2667675,50
279,0.132324219,250,1,10.2667675,50
280,0.012890625,250,0.1,10.26960693,50
281,0.026171875,250,0.2,10.26960693,50
282,0.037207031,250,0.3,10.26960693,50
283,0.052734375,250,0.4,10.26960693,50
284,0.066894531,250,0.5,10.26960693,50
285,0.079394531,250,0.6,10.26960693,50
286,0.094677734,250,0.7,10.26960693,50
287,0.108984375,250,0.8,10.26960693,50
288,0.118212891,250,0.9,10.26960693,50
289,0.134277344,250,1,10.26960693,50
290,0.013671875,250,0.1,10.21759476,50
291,0.026171875,250,0.2,10.21759476,50
292,0.040136719,250,0.3,10.21759476,50
293,0.056640625,250,0.4,10.21759476,50
294,0.065917969,250,0.5,10.21759476,50
295,0.082324219,250,0.6,10.21759476,50
296,0.092626953,250,0.7,10.21759476,50
297,0.107421875,250,0.8,10.21759476,50
298,0.119970703,250,0.9,10.21759476,50
299,0.130371094,250,1,10.21759476,50
300,0.014453125,250,0.1,10.22875505,50
301,0.026171875,250,0.2,10.22875505,50
302,0.038378906,250,0.3,10.22875505,50
303,0.052734375,250,0.4,10.22875505,50
304,0.067871094,250,0.5,10.22875505,50
305,0.076464844,250,0.6,10.22875505,50
306,0.096044922,250,0.7,10.22875505,50
307,0.105078125,250,0.8,10.22875505,50
308,0.115576172,250,0.9,10.22875505,50
309,0.132324219,250,1,10.22875505,50
310,0.014453125,250,0.1,10.25316502,50
311,0.028515625,250,0.2,10.25316502,50
312,0.041308594,250,0.3,10.25316502,50
313,0.052734375,250,0.4,10.25316502,50
314,0.066894531,250,0.5,10.25316502,50
315,0.082324219,250,0.6,10.25316502,50
316,0.089892578,250,0.7,10.25316502,50
317,0.112890625,250,0.8,10.25316502,50
318,0.117333984,250,0.9,10.25316502,50
319,0.130371094,250,1,10.25316502,50
320,0.013671875,250,0.1,10.28619058,50
321,0.027734375,250,0.2,10.28619058,50
322,0.038964844,250,0.3,10.28619058,50
323,0.053515625,250,0.4,10.28619058,50
324,0.065917969,250,0.5,10.28619058,50
325,0.079394531,250,0.6,10.28619058,50
326,0.091943359,250,0.7,10.28619058,50
327,0.103515625,250,0.8,10.28619058,50
328,0.114697266,250,0.9,10.28619058,50
329,0.128417969,250,1,10.28619058,50
330,0.014453125,250,0.1,10.21382787,50
331,0.026171875,250,0.2,10.21382787,50
332,0.040722656,250,0.3,10.21382787,50
333,0.052734375,250,0.4,10.21382787,50
334,0.069824219,250,0.5,10.21382787,50
335,0.080566406,250,0.6,10.21382787,50
336,0.092626953,250,0.7,10.21382787,50
337,0.108203125,250,0.8,10.21382787,50
338,0.119091797,250,0.9,10.21382787,50
339,0.135253906,250,1,10.21382787,50
340,0.013671875,250,0.1,10.29914811,50
341,0.026953125,250,0.2,10.29914811,50
342,0.040136719,250,0.3,10.29914811,50
343,0.053515625,250,0.4,10.29914811,50
344,0.066894531,250,0.5,10.29914811,50
345,0.079394531,250,0.6,10.29914811,50
346,0.091259766,250,0.7,10.29914811,50
347,0.109765625,250,0.8,10.29914811,50
348,0.120849609,250,0.9,10.29914811,50
349,0.132324219,250,1,10.29914811,50
350,0.012890625,250,0.1,10.27560054,50
351,0.026953125,250,0.2,10.27560054,50
352,0.039550781,250,0.3,10.27560054,50
353,0.053515625,250,0.4,10.27560054,50
354,0.064941406,250,0.5,10.27560054,50
355,0.081152344,250,0.6,10.27560054,50
356,0.091943359,250,0.7,10.27560054,50
357,0.108203125,250,0.8,10.27560054,50
358,0.128759766,250,0.9,10.27560054,50
359,0.135253906,250,1,10.27560054,50
360,0.012890625,250,0.1,10.36798455,50
361,0.027734375,250,0.2,10.36798455,50
362,0.041308594,250,0.3,10.36798455,50
363,0.051953125,250,0.4,10.36798455,50
364,0.063964844,250,0.5,10.36798455,50
365,0.076464844,250,0.6,10.36798455,50
366,0.091943359,250,0.7,10.36798455,50
367,0.108203125,250,0.8,10.36798455,50
368,0.123486328,250,0.9,10.36798455,50
369,0.132324219,250,1,10.36798455,50
370,0.013671875,250,0.1,10.25707479,50
371,0.026953125,250,0.2,10.25707479,50
372,0.041308594,250,0.3,10.25707479,50
373,0.051953125,250,0.4,10.25707479,50
374,0.066894531,250,0.5,10.25707479,50
375,0.080566406,250,0.6,10.25707479,50
376,0.094677734,250,0.7,10.25707479,50
377,0.104296875,250,0.8,10.25707479,50
378,0.127001953,250,0.9,10.25707479,50
379,0.134277344,250,1,10.25707479,50
380,0.013671875,250,0.1,10.18874204,50
381,0.026953125,250,0.2,10.18874204,50
382,0.040136719,250,0.3,10.18874204,50
383,0.055078125,250,0.4,10.18874204,50
384,0.064941406,250,0.5,10.18874204,50
385,0.081738281,250,0.6,10.18874204,50
386,0.098779297,250,0.7,10.18874204,50
387,0.105078125,250,0.8,10.18874204,50
388,0.119970703,250,0.9,10.18874204,50
389,0.136230469,250,1,10.18874204,50
390,0.014453125,250,0.1,10.27610858,50
391,0.026953125,250,0.2,10.27610858,50
392,0.038964844,250,0.3,10.27610858,50
393,0.051953125,250,0.4,10.27610858,50
394,0.065917969,250,0.5,10.27610858,50
395,0.078808594,250,0.6,10.27610858,50
396,0.092626953,250,0.7,10.27610858,50
397,0.108203125,250,0.8,10.27610858,50
398,0.125244141,250,0.9,10.27610858,50
399,0.131347656,250,1,10.27610858,50
400,0.013671875,250,0.1,10.30798319,50
401,0.026171875,250,0.2,10.30798319,50
402,0.040136719,250,0.3,10.30798319,50
403,0.051953125,250,0.4,10.30798319,50
404,0.062011719,250,0.5,10.30798319,50
405,0.077636719,250,0.6,10.30798319,50
406,0.094677734,250,0.7,10.30798319,50
407,0.106640625,250,0.8,10.30798319,50
408,0.121728516,250,0.9,10.30798319,50
409,0.124511719,250,1,10.30798319,50
410,0.013671875,250,0.1,10.26720274,50
411,0.026953125,250,0.2,10.26720274,50
412,0.040722656,250,0.3,10.26720274,50
413,0.052734375,250,0.4,10.26720274,50
414,0.068847656,250,0.5,10.26720274,50
415,0.082910156,250,0.6,10.26720274,50
416,0.095361328,250,0.7,10.26720274,50
417,0.106640625,250,0.8,10.26720274,50
418,0.121728516,250,0.9,10.26720274,50
419,0.124511719,250,1,10.26720274,50
420,0.012890625,250,0.1,10.25861567,50
421,0.026171875,250,0.2,10.25861567,50
422,0.039550781,250,0.3,10.25861567,50
423,0.052734375,250,0.4,10.25861567,50
424,0.068847656,250,0.5,10.25861567,50
425,0.074707031,250,0.6,10.25861567,50
426,0.093310547,250,0.7,10.25861567,50
427,0.108203125,250,0.8,10.25861567,50
428,0.121728516,250,0.9,10.25861567,50
429,0.134277344,250,1,10.25861567,50
430,0.012890625,250,0.1,10.24558201,50
431,0.027734375,250,0.2,10.24558201,50
432,0.038378906,250,0.3,10.24558201,50
433,0.052734375,250,0.4,10.24558201,50
434,0.065917969,250,0.5,10.24558201,50
435,0.078222656,250,0.6,10.24558201,50
436,0.094677734,250,0.7,10.24558201,50
437,0.107421875,250,0.8,10.24558201,50
438,0.127001953,250,0.9,10.24558201,50
439,0.137207031,250,1,10.24558201,50
440,0.012890625,250,0.1,10.34563903,50
441,0.026953125,250,0.2,10.34563903,50
442,0.040136719,250,0.3,10.34563903,50
443,0.051171875,250,0.4,10.34563903,50
444,0.065917969,250,0.5,10.34563903,50
445,0.077050781,250,0.6,10.34563903,50
446,0.098779297,250,0.7,10.34563903,50
447,0.099609375,250,0.8,10.34563903,50
448,0.115576172,250,0.9,10.34563903,50
449,0.134277344,250,1,10.34563903,50
450,0.013671875,250,0.1,10.26049525,50
451,0.027734375,250,0.2,10.26049525,50
452,0.038964844,250,0.3,10.26049525,50
453,0.051953125,250,0.4,10.26049525,50
454,0.065917969,250,0.5,10.26049525,50
455,0.084082031,250,0.6,10.26049525,50
456,0.093994141,250,0.7,10.26049525,50
457,0.108984375,250,0.8,10.26049525,50
458,0.127001953,250,0.9,10.26049525,50
459,0.122558594,250,1,10.26049525,50
460,0.012890625,250,0.1,10.30798345,50
461,0.026953125,250,0.2,10.30798345,50
462,0.038378906,250,0.3,10.30798345,50
463,0.052734375,250,0.4,10.30798345,50
464,0.066894531,250,0.5,10.30798345,50
465,0.080566406,250,0.6,10.30798345,50
466,0.093310547,250,0.7,10.30798345,50
467,0.102734375,250,0.8,10.30798345,50
468,0.127001953,250,0.9,10.30798345,50
469,0.134277344,250,1,10.30798345,50
470,0.013671875,250,0.1,10.19678184,50
471,0.026953125,250,0.2,10.19678184,50
472,0.040722656,250,0.3,10.19678184,50
473,0.053515625,250,0.4,10.19678184,50
474,0.070800781,250,0.5,10.19678184,50
475,0.081152344,250,0.6,10.19678184,50
476,0.096044922,250,0.7,10.19678184,50
477,0.105078125,250,0.8,10.19678184,50
478,0.120849609,250,0.9,10.19678184,50
479,0.130371094,250,1,10.19678184,50
480,0.012890625,250,0.1,10.3360303,50
481,0.026171875,250,0.2,10.3360303,50
482,0.040136719,250,0.3,10.3360303,50
483,0.054296875,250,0.4,10.3360303,50
484,0.064941406,250,0.5,10.3360303,50
485,0.080566406,250,0.6,10.3360303,50
486,0.098779297,250,0.7,10.3360303,50
487,0.108203125,250,0.8,10.3360303,50
488,0.117333984,250,0.9,10.3360303,50
489,0.128417969,250,1,10.3360303,50
490,0.013671875,250,0.1,10.22207744,50
491,0.026953125,250,0.2,10.22207744,50
492,0.039550781,250,0.3,10.22207744,50
493,0.053515625,250,0.4,10.22207744,50
494,0.062011719,250,0.5,10.22207744,50
495,0.079394531,250,0.6,10.22207744,50
496,0.096728516,250,0.7,10.22207744,50
497,0.108203125,250,0.8,10.22207744,50
498,0.127001953,250,0.9,10.22207744,50
499,0.135253906,250,1,10.22207744,50
